case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder,scenario_seed,case_seed,buyer_utility,dealer_utility,joint_utility,agreement_surplus,buyer_surplus,dealer_profit,buyer_distance_from_reservation,dealer_distance_from_reservation,buyer_concession_pct,dealer_concession_pct,benefit_side,final_reason
42,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,5,80000,62400,72800,71200,71200,8800,11.00,"exp_042_TIGHT_GAP_BAYESIAN_vs_FIXED_INCREMENT_5PCT",5217400137194736569,206493208850830950,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM71200 | Offers seen=2 → ACCEPT RM71200"
43,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,62400,72800,71200,72500,7500,9.38,"exp_043_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_BAYESIAN",5217400137194736569,206496501710859025,0.03,0.15,0.18,1600,300,1300,300,1300,97.12,85.23,"DEALER","REJECT: Offer RM 72500 exceeds reservation price RM 71200"
44,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",5,11,80000,62400,72800,71200,72600,7400,9.25,"exp_044_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_CONCEDER",5217400137194736569,206496395294008352,0.02,0.16,0.18,1600,200,1400,200,1400,98.08,84.09,"DEALER","Round 5/10 | CONCEDER | Offer RM72600 vs RV RM72800 | lastRound=false → ACCEPT"
45,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",10,20,80000,62400,72800,71200,72500,7500,9.38,"exp_045_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_BOULWARE",5217400137194736569,206496355945260846,0.03,0.15,0.18,1600,300,1300,300,1300,97.12,85.23,"DEALER","Round 10/10 | BOULWARE | Offer RM72500 vs RV RM71200 | lastRound=true → COUNTER"
46,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",6,14,80000,62400,72800,71200,71200,8800,11.00,"exp_046_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_TIT_FOR_TAT",5217400137194736569,206496408928092520,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 6/10 | Curve=CONCEDER β=4.00 | Progress=60% → Offer RM71600"
47,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",6,14,80000,62400,72800,71200,71200,8800,11.00,"exp_047_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_2PCT",5217400137194736569,206496353043056568,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 6/10 | Curve=CONCEDER β=4.00 | Progress=60% → Offer RM71600"
48,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",6,14,80000,62400,72800,71200,71200,8800,11.00,"exp_048_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_5PCT",5217400137194736569,206496353067165058,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 6/10 | Curve=CONCEDER β=4.00 | Progress=60% → Offer RM71600"
49,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","BAYESIAN","Bayesian Learner","NO_DEAL","NONE",10,20,80000,62400,72800,71200,0,0,0.00,"exp_049_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_BAYESIAN",5217400137194736569,206083298185024414,0.00,0.00,0.00,1600,0,0,0,0,65.38,0.00,"NO_DEAL","Deadline reached without either side accepting."
50,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",5,11,80000,62400,72800,71200,72600,7400,9.25,"exp_050_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_CONCEDER",5217400137194736569,206083311852792756,0.02,0.16,0.18,1600,200,1400,200,1400,98.08,84.09,"DEALER","Round 5/10 | BOULWARE | Offer RM72600 vs RV RM72800 | lastRound=false → ACCEPT"
51,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_051_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_BOULWARE",5217400137194736569,206082846714687140,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 10/10 | BOULWARE | Offer RM71200 vs RV RM72800 | lastRound=true → ACCEPT"
52,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_052_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_TIT_FOR_TAT",5217400137194736569,206083309217018855,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 10/10 | BOULWARE | Offer RM71200 vs RV RM72800 | lastRound=true → ACCEPT"
53,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_053_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_2PCT",5217400137194736569,206082963391617321,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 10/10 | BOULWARE | Offer RM71200 vs RV RM72800 | lastRound=true → ACCEPT"
54,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_054_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_5PCT",5217400137194736569,206082963350617606,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 10/10 | BOULWARE | Offer RM71200 vs RV RM72800 | lastRound=true → ACCEPT"
55,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","BAYESIAN","Bayesian Learner","NO_DEAL","NONE",10,20,80000,62400,72800,71200,0,0,0.00,"exp_055_TIGHT_GAP_TIT_FOR_TAT_vs_BAYESIAN",5217400137194736569,206490026194950742,0.00,0.00,0.00,1600,0,0,0,0,17.31,0.00,"NO_DEAL","Deadline reached without either side accepting."
56,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_056_TIGHT_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_CONCEDER",5217400137194736569,206490008355631840,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 10/10 | OpponentConcession=0.3% | opponentStuck=true | lastRound=true → ACCEPT"
57,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_057_TIGHT_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_BOULWARE",5217400137194736569,206490480863170552,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 10/10 | OpponentConcession=4.0% | opponentStuck=false | lastRound=true → ACCEPT"
58,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",3,7,80000,62400,72800,71200,71200,8800,11.00,"exp_058_TIGHT_GAP_TIT_FOR_TAT_vs_TIT_FOR_TAT",5217400137194736569,206490016239850299,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
59,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",3,7,80000,62400,72800,71200,71200,8800,11.00,"exp_059_TIGHT_GAP_TIT_FOR_TAT_vs_FIXED_INCREMENT_2PCT",5217400137194736569,206490222363956221,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
60,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,7,80000,62400,72800,71200,71200,8800,11.00,"exp_060_TIGHT_GAP_TIT_FOR_TAT_vs_FIXED_INCREMENT_5PCT",5217400137194736569,206490222354089550,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
61,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,62400,72800,71200,72800,7200,9.00,"exp_061_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_BAYESIAN",5217400137194736569,206104237330274686,0.00,0.18,0.18,1600,0,1600,0,1600,100.00,81.82,"DEALER","REJECT: Offer RM 72800 exceeds reservation price RM 71200"
62,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",8,17,80000,62400,72800,71200,71700,8300,10.38,"exp_062_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_CONCEDER",5217400137194736569,206103770393268842,0.11,0.06,0.16,1600,1100,500,1100,500,89.42,94.32,"BALANCED","Round 8/10 | Curve=CONCEDER β=4.00 | Progress=80% → Offer RM71700"
63,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",10,20,80000,62400,72800,71200,72800,7200,9.00,"exp_063_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_BOULWARE",5217400137194736569,206103874906143078,0.00,0.18,0.18,1600,0,1600,0,1600,100.00,81.82,"DEALER","Round 10/10 | BOULWARE | Offer RM72800 vs RV RM71200 | lastRound=true → COUNTER"
64,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",7,16,80000,62400,72800,71200,71200,8800,11.00,"exp_064_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_TIT_FOR_TAT",5217400137194736569,206104271008141350,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 7/10 | +2.0% increment | Offer RM70300 → RM71700 | RV ceiling: RM72800"
65,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",7,16,80000,62400,72800,71200,71200,8800,11.00,"exp_065_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_2PCT",5217400137194736569,206097363645535703,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 7/10 | +2.0% increment | Offer RM70300 → RM71700 | RV ceiling: RM72800"
66,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",7,16,80000,62400,72800,71200,71200,8800,11.00,"exp_066_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_5PCT",5217400137194736569,206097363651645196,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 7/10 | +2.0% increment | Offer RM70300 → RM71700 | RV ceiling: RM72800"
67,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,62400,72800,71200,72800,7200,9.00,"exp_067_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_BAYESIAN",5217400137194736569,206104239311213293,0.00,0.18,0.18,1600,0,1600,0,1600,100.00,81.82,"DEALER","REJECT: Offer RM 72800 exceeds reservation price RM 71200"
68,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",5,11,80000,62400,72800,71200,72800,7200,9.00,"exp_068_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_CONCEDER",5217400137194736569,206103772493814541,0.00,0.18,0.18,1600,0,1600,0,1600,100.00,81.82,"DEALER","Round 5/10 | Curve=CONCEDER β=4.00 | Progress=50% → Offer RM72600"
69,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",10,20,80000,62400,72800,71200,72800,7200,9.00,"exp_069_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_BOULWARE",5217400137194736569,206103881224571403,0.00,0.18,0.18,1600,0,1600,0,1600,100.00,81.82,"DEALER","Round 10/10 | BOULWARE | Offer RM72800 vs RV RM71200 | lastRound=true → COUNTER"
70,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",3,8,80000,62400,72800,71200,71200,8800,11.00,"exp_070_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_TIT_FOR_TAT",5217400137194736569,206103766535456328,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 3/10 | +5.0% increment | Offer RM68800 → RM72200 | RV ceiling: RM72800"
71,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",3,8,80000,62400,72800,71200,71200,8800,11.00,"exp_071_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_2PCT",5217400137194736569,206097365876112396,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 3/10 | +5.0% increment | Offer RM68800 → RM72200 | RV ceiling: RM72800"
72,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,8,80000,62400,72800,71200,71200,8800,11.00,"exp_072_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_5PCT",5217400137194736569,206097365885115039,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 3/10 | +5.0% increment | Offer RM68800 → RM72200 | RV ceiling: RM72800"
73,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","BAYESIAN","Bayesian Learner","DEAL","BUYER",2,5,80000,60800,82400,67200,80000,0,0.00,"exp_073_WIDE_GAP_BAYESIAN_vs_BAYESIAN",5217400152596663891,211164966580415852,0.11,1.00,1.11,15200,2400,12800,2400,12800,88.89,0.00,"DEALER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM80000 | Offers seen=2 → ACCEPT RM80000"
74,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",2,5,80000,60800,82400,67200,71400,8600,10.75,"exp_074_WIDE_GAP_BAYESIAN_vs_TIME_DEPENDENT_CONCEDER",5217400152596663891,211164987640769101,0.51,0.33,0.84,15200,11000,4200,11000,4200,49.07,67.19,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM1400 (0.0%) | EstimatedFloor≈RM70000 | Offers seen=2 → ACCEPT RM71400"
75,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",2,5,80000,60800,82400,67200,80000,0,0.00,"exp_075_WIDE_GAP_BAYESIAN_vs_TIME_DEPENDENT_BOULWARE",5217400152596663891,211164788528656707,0.11,1.00,1.11,15200,2400,12800,2400,12800,88.89,0.00,"DEALER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM80000 | Offers seen=2 → ACCEPT RM80000"
76,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",2,5,80000,60800,82400,67200,67200,12800,16.00,"exp_076_WIDE_GAP_BAYESIAN_vs_TIT_FOR_TAT",5217400152596663891,211164975325947269,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM67200 | Offers seen=2 → ACCEPT RM67200"
77,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",2,5,80000,60800,82400,67200,67200,12800,16.00,"exp_077_WIDE_GAP_BAYESIAN_vs_FIXED_INCREMENT_2PCT",5217400152596663891,211165052967705165,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM67200 | Offers seen=2 → ACCEPT RM67200"
78,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,5,80000,60800,82400,67200,67200,12800,16.00,"exp_078_WIDE_GAP_BAYESIAN_vs_FIXED_INCREMENT_5PCT",5217400152596663891,211165052954933527,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM67200 | Offers seen=2 → ACCEPT RM67200"
79,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","BAYESIAN","Bayesian Learner","DEAL","BUYER",7,16,80000,60800,82400,67200,80000,0,0.00,"exp_079_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_BAYESIAN",5217400152596663891,211165609564848734,0.11,1.00,1.11,15200,2400,12800,2400,12800,88.89,0.00,"DEALER","Round 7/10 | Curve=CONCEDER β=4.00 | Progress=70% → Offer RM80600"
80,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",1,4,80000,60800,82400,67200,72800,7200,9.00,"exp_080_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_CONCEDER",5217400152596663891,211165658896792971,0.44,0.44,0.88,15200,9600,5600,9600,5600,55.56,56.25,"BALANCED","Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM72900"
81,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",6,13,80000,60800,82400,67200,79000,1000,1.25,"exp_081_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_BOULWARE",5217400152596663891,211165738647976065,0.16,0.92,1.08,15200,3400,11800,3400,11800,84.26,7.81,"DEALER","Round 6/10 | Curve=BOULWARE β=0.25 | Progress=60% → Offer RM78300"
82,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",1,4,80000,60800,82400,67200,67200,12800,16.00,"exp_082_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_TIT_FOR_TAT",5217400152596663891,211165654216994271,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM72900"
83,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",1,4,80000,60800,82400,67200,67200,12800,16.00,"exp_083_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_2PCT",5217400152596663891,211165719611039293,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM72900"
84,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",1,4,80000,60800,82400,67200,67200,12800,16.00,"exp_084_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_5PCT",5217400152596663891,211165719621968181,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM72900"
85,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,60800,82400,67200,75000,5000,6.25,"exp_085_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_BAYESIAN",5217400152596663891,211356202250861266,0.34,0.61,0.95,15200,7400,7800,7400,7800,65.74,39.06,"DEALER","REJECT: Offer RM 75000 exceeds reservation price RM 67200"
86,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",8,18,80000,60800,82400,67200,67900,12100,15.13,"exp_086_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_CONCEDER",5217400152596663891,211356184741204264,0.67,0.05,0.73,15200,14500,700,14500,700,32.87,94.53,"BUYER","Round 8/10 | Curve=BOULWARE β=0.25 | Progress=80% → Offer RM69600"
87,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",9,20,80000,60800,82400,67200,71600,8400,10.50,"exp_087_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_BOULWARE",5217400152596663891,211356082194410528,0.50,0.34,0.84,15200,10800,4400,10800,4400,50.00,65.63,"BUYER","Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM75000"
88,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",8,18,80000,60800,82400,67200,67200,12800,16.00,"exp_088_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_TIT_FOR_TAT",5217400152596663891,211356023114191203,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 8/10 | Curve=BOULWARE β=0.25 | Progress=80% → Offer RM69600"
89,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",8,18,80000,60800,82400,67200,67200,12800,16.00,"exp_089_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_2PCT",5217400152596663891,211355406684049525,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 8/10 | Curve=BOULWARE β=0.25 | Progress=80% → Offer RM69600"
90,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",8,18,80000,60800,82400,67200,67200,12800,16.00,"exp_090_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_5PCT",5217400152596663891,211355406673356170,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 8/10 | Curve=BOULWARE β=0.25 | Progress=80% → Offer RM69600"
91,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","BAYESIAN","Bayesian Learner","DEAL","BUYER",3,7,80000,60800,82400,67200,80000,0,0.00,"exp_091_WIDE_GAP_TIT_FOR_TAT_vs_BAYESIAN",5217400152596663891,211162831606865611,0.11,1.00,1.11,15200,2400,12800,2400,12800,88.89,0.00,"DEALER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
92,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",10,21,80000,60800,82400,67200,67200,12800,16.00,"exp_092_WIDE_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_CONCEDER",5217400152596663891,211162748831009226,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 10/10 | OpponentConcession=0.4% | opponentStuck=false | lastRound=true → ACCEPT"
93,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",3,7,80000,60800,82400,67200,79900,100,0.13,"exp_093_WIDE_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_BOULWARE",5217400152596663891,211166382581768916,0.12,0.99,1.11,15200,2500,12700,2500,12700,88.43,0.78,"DEALER","Round 3/10 | OpponentConcession=0.1% | opponentStuck=true | lastRound=false → ACCEPT"
94,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",3,7,80000,60800,82400,67200,67200,12800,16.00,"exp_094_WIDE_GAP_TIT_FOR_TAT_vs_TIT_FOR_TAT",5217400152596663891,211162750389287186,0.70,0.00,0.70,15200,15200,0,15200,0,29.63,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
