case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder,scenario_seed,case_seed,buyer_utility,dealer_utility,joint_utility,agreement_surplus,buyer_surplus,dealer_profit,buyer_distance_from_reservation,dealer_distance_from_reservation,buyer_concession_pct,dealer_concession_pct,benefit_side,final_reason
12,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",1,4,80000,64000,78400,70400,70400,9600,12.00,"exp_012_BALANCED_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_5PCT",5217400151006772112,203013716590053547,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM72100"
13,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,64000,78400,70400,73400,6600,8.25,"exp_013_BALANCED_TIME_DEPENDENT_BOULWARE_vs_BAYESIAN",5217400151006772112,202994785395781948,0.35,0.31,0.66,8000,5000,3000,5000,3000,65.28,68.75,"BALANCED","REJECT: Offer RM 73400 exceeds reservation price RM 70400"
14,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",9,20,80000,64000,78400,70400,70600,9400,11.75,"exp_014_BALANCED_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_CONCEDER",5217400151006772112,202994762614611864,0.54,0.02,0.56,8000,7800,200,7800,200,45.83,97.92,"BUYER","Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM73400"
15,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",7,15,80000,64000,78400,70400,77700,2300,2.88,"exp_015_BALANCED_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_BOULWARE",5217400151006772112,202994783248498832,0.05,0.76,0.81,8000,700,7300,700,7300,95.14,23.96,"DEALER","Round 7/10 | BOULWARE | Offer RM77700 vs RV RM78400 | lastRound=false → ACCEPT"
16,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",9,20,80000,64000,78400,70400,70400,9600,12.00,"exp_016_BALANCED_TIME_DEPENDENT_BOULWARE_vs_TIT_FOR_TAT",5217400151006772112,202994742638703917,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM73400"
17,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",9,20,80000,64000,78400,70400,70400,9600,12.00,"exp_017_BALANCED_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_2PCT",5217400151006772112,202994816177851909,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM73400"
18,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",9,20,80000,64000,78400,70400,70400,9600,12.00,"exp_018_BALANCED_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_5PCT",5217400151006772112,202994816142375350,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM73400"
19,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","BAYESIAN","Bayesian Learner","NO_DEAL","NONE",10,20,80000,64000,78400,70400,0,0,0.00,"exp_019_BALANCED_TIT_FOR_TAT_vs_BAYESIAN",5217400151006772112,203013712550398047,0.00,0.00,0.00,8000,0,0,0,0,17.36,0.00,"NO_DEAL","Deadline reached without either side accepting."
20,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",10,21,80000,64000,78400,70400,70400,9600,12.00,"exp_020_BALANCED_TIT_FOR_TAT_vs_TIME_DEPENDENT_CONCEDER",5217400151006772112,203013700799534650,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 10/10 | OpponentConcession=0.3% | opponentStuck=true | lastRound=true → ACCEPT"
21,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",10,21,80000,64000,78400,70400,70400,9600,12.00,"exp_021_BALANCED_TIT_FOR_TAT_vs_TIME_DEPENDENT_BOULWARE",5217400151006772112,203015114713064240,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 10/10 | OpponentConcession=4.5% | opponentStuck=false | lastRound=true → ACCEPT"
