case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder
21,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",10,21,80000,64000,78400,70400,70400,9600,12.00,"exp_021_BALANCED_TIT_FOR_TAT_vs_TIME_DEPENDENT_BOULWARE"
22,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","TIT_FOR_TAT","Tit-for-Tat","NO_DEAL","NONE",10,20,80000,64000,78400,70400,0,0,0.00,"exp_022_BALANCED_TIT_FOR_TAT_vs_TIT_FOR_TAT"
23,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",8,17,80000,64000,78400,70400,70400,9600,12.00,"exp_023_BALANCED_TIT_FOR_TAT_vs_FIXED_INCREMENT_2PCT"
24,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",4,9,80000,64000,78400,70400,70400,9600,12.00,"exp_024_BALANCED_TIT_FOR_TAT_vs_FIXED_INCREMENT_5PCT"
25,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",7,14,80000,64000,78400,70400,72100,7900,9.88,"exp_025_BALANCED_FIXED_INCREMENT_2PCT_vs_BAYESIAN"
26,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",6,12,80000,64000,78400,70400,70700,9300,11.63,"exp_026_BALANCED_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_CONCEDER"
27,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",6,12,80000,64000,78400,70400,70700,9300,11.63,"exp_027_BALANCED_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_BOULWARE"
28,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,64000,78400,70400,76500,3500,4.38,"exp_028_BALANCED_FIXED_INCREMENT_2PCT_vs_TIT_FOR_TAT"
29,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",6,14,80000,64000,78400,70400,70900,9100,11.38,"exp_029_BALANCED_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_2PCT"
30,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",5,12,80000,64000,78400,70400,70400,9600,12.00,"exp_030_BALANCED_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_5PCT"
31,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",4,8,80000,64000,78400,70400,74100,5900,7.38,"exp_031_BALANCED_FIXED_INCREMENT_5PCT_vs_BAYESIAN"
32,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",3,6,80000,64000,78400,70400,70600,9400,11.75,"exp_032_BALANCED_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_CONCEDER"
33,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",3,6,80000,64000,78400,70400,70600,9400,11.75,"exp_033_BALANCED_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_BOULWARE"
34,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",5,12,80000,64000,78400,70400,78000,2000,2.50,"exp_034_BALANCED_FIXED_INCREMENT_5PCT_vs_TIT_FOR_TAT"
35,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","DEALER",4,9,80000,64000,78400,70400,74100,5900,7.38,"exp_035_BALANCED_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_2PCT"
36,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","DEALER",3,7,80000,64000,78400,70400,70600,9400,11.75,"exp_036_BALANCED_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_5PCT"
37,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","BAYESIAN","Bayesian Learner","DEAL","BUYER",9,19,80000,62400,72800,71200,72100,7900,9.88,"exp_037_TIGHT_GAP_BAYESIAN_vs_BAYESIAN"
38,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",5,11,80000,62400,72800,71200,72600,7400,9.25,"exp_038_TIGHT_GAP_BAYESIAN_vs_TIME_DEPENDENT_CONCEDER"
39,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",9,18,80000,62400,72800,71200,71400,8600,10.75,"exp_039_TIGHT_GAP_BAYESIAN_vs_TIME_DEPENDENT_BOULWARE"
40,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,62400,72800,71200,71800,8200,10.25,"exp_040_TIGHT_GAP_BAYESIAN_vs_TIT_FOR_TAT"
41,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",5,11,80000,62400,72800,71200,72300,7700,9.63,"exp_041_TIGHT_GAP_BAYESIAN_vs_FIXED_INCREMENT_2PCT"
42,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,7,80000,62400,72800,71200,71200,8800,11.00,"exp_042_TIGHT_GAP_BAYESIAN_vs_FIXED_INCREMENT_5PCT"
43,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","BAYESIAN","Bayesian Learner","DEAL","DEALER",9,18,80000,62400,72800,71200,72200,7800,9.75,"exp_043_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_BAYESIAN"
44,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",5,11,80000,62400,72800,71200,72600,7400,9.25,"exp_044_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_CONCEDER"
45,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",7,14,80000,62400,72800,71200,71600,8400,10.50,"exp_045_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_BOULWARE"
