case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder
83,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",3,8,80000,60800,82400,67200,75300,4700,5.88,"exp_083_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_2PCT"
84,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","DEALER",2,5,80000,60800,82400,67200,72900,7100,8.88,"exp_084_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_5PCT"
85,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","BAYESIAN","Bayesian Learner","DEAL","DEALER",9,18,80000,60800,82400,67200,69600,10400,13.00,"exp_085_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_BAYESIAN"
86,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",8,18,80000,60800,82400,67200,67900,12100,15.13,"exp_086_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_CONCEDER"
87,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",9,20,80000,60800,82400,67200,71600,8400,10.50,"exp_087_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_BOULWARE"
88,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,60800,82400,67200,75000,5000,6.25,"exp_088_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_TIT_FOR_TAT"
89,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",8,18,80000,60800,82400,67200,68100,11900,14.88,"exp_089_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_2PCT"
90,1,"WIDE_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",8,18,80000,60800,82400,67200,67200,12800,16.00,"exp_090_WIDE_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_5PCT"
91,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","BAYESIAN","Bayesian Learner","DEAL","BUYER",10,21,80000,60800,82400,67200,67200,12800,16.00,"exp_091_WIDE_GAP_TIT_FOR_TAT_vs_BAYESIAN"
92,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",10,21,80000,60800,82400,67200,67200,12800,16.00,"exp_092_WIDE_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_CONCEDER"
93,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",3,7,80000,60800,82400,67200,79900,100,0.13,"exp_093_WIDE_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_BOULWARE"
94,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",3,7,80000,60800,82400,67200,79500,500,0.63,"exp_094_WIDE_GAP_TIT_FOR_TAT_vs_TIT_FOR_TAT"
95,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",10,21,80000,60800,82400,67200,67200,12800,16.00,"exp_095_WIDE_GAP_TIT_FOR_TAT_vs_FIXED_INCREMENT_2PCT"
96,1,"WIDE_GAP","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",5,11,80000,60800,82400,67200,67200,12800,16.00,"exp_096_WIDE_GAP_TIT_FOR_TAT_vs_FIXED_INCREMENT_5PCT"
97,1,"WIDE_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",7,14,80000,60800,82400,67200,68500,11500,14.37,"exp_097_WIDE_GAP_FIXED_INCREMENT_2PCT_vs_BAYESIAN"
98,1,"WIDE_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",7,15,80000,60800,82400,67200,68500,11500,14.37,"exp_098_WIDE_GAP_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_CONCEDER"
99,1,"WIDE_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",9,20,80000,60800,82400,67200,71600,8400,10.50,"exp_099_WIDE_GAP_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_BOULWARE"
100,1,"WIDE_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,60800,82400,67200,72700,7300,9.13,"exp_100_WIDE_GAP_FIXED_INCREMENT_2PCT_vs_TIT_FOR_TAT"
101,1,"WIDE_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",7,16,80000,60800,82400,67200,69500,10500,13.13,"exp_101_WIDE_GAP_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_2PCT"
102,1,"WIDE_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",6,14,80000,60800,82400,67200,67200,12800,16.00,"exp_102_WIDE_GAP_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_5PCT"
103,1,"WIDE_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",4,8,80000,60800,82400,67200,70400,9600,12.00,"exp_103_WIDE_GAP_FIXED_INCREMENT_5PCT_vs_BAYESIAN"
104,1,"WIDE_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",4,9,80000,60800,82400,67200,70400,9600,12.00,"exp_104_WIDE_GAP_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_CONCEDER"
105,1,"WIDE_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",6,14,80000,60800,82400,67200,78300,1700,2.13,"exp_105_WIDE_GAP_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_BOULWARE"
106,1,"WIDE_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",5,12,80000,60800,82400,67200,77400,2600,3.25,"exp_106_WIDE_GAP_FIXED_INCREMENT_5PCT_vs_TIT_FOR_TAT"
107,1,"WIDE_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",4,10,80000,60800,82400,67200,73800,6200,7.75,"exp_107_WIDE_GAP_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_2PCT"
108,1,"WIDE_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,8,80000,60800,82400,67200,68600,11400,14.25,"exp_108_WIDE_GAP_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_5PCT"
