timestamp,negotiationId,conversationId,round,sender,receiver,type,aclPerformative,price,strategy,outcome,utility,buyerUtility,dealerUtility,reason
2026-05-11 16:33:47,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-72FA63E6-425485,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-72FA63E6-425485,3,Tan06,ToyotaDealer,OFFER,PROPOSE,98800.00,Time-Dependent (CONCEDER),ONGOING,0.3778,,,Round 3/20 | Curve=CONCEDER β=4.00 | Progress=15% → Offer RM98800
2026-05-11 16:33:48,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-72FA63E6-425485,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-72FA63E6-425485,3,,,REJECT,,,,FAILED,,,,ToyotaDealer shutdown
2026-05-11 16:33:48,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-72FA63E6-425485,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-72FA63E6-425485,3,,,REJECT,,,,FAILED,,,,Tan06 shutdown
2026-05-11 16:42:00,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,1,Tan06,ToyotaDealer,OFFER,PROPOSE,82000.00,Time-Dependent (CONCEDER),ONGOING,1.0000,,,Round 1 opening offer using Time-Dependent (CONCEDER)
2026-05-11 16:42:01,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,1,ToyotaDealer,Tan06,OFFER,PROPOSE,99000.00,Time-Dependent (BOULWARE),ONGOING,1.0000,,,Round 1/10 | Curve=BOULWARE β=0.25 | Progress=10% → Offer RM99000
2026-05-11 16:42:01,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,2,Tan06,ToyotaDealer,OFFER,PROPOSE,97200.00,Time-Dependent (CONCEDER),ONGOING,0.4370,,,Round 2/20 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM97200
2026-05-11 16:42:02,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,2,ToyotaDealer,Tan06,OFFER,PROPOSE,99000.00,Time-Dependent (BOULWARE),ONGOING,1.0000,,,Round 2/10 | Curve=BOULWARE β=0.25 | Progress=20% → Offer RM99000
2026-05-11 16:42:02,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,3,Tan06,ToyotaDealer,OFFER,PROPOSE,98800.00,Time-Dependent (CONCEDER),ONGOING,0.3778,,,Round 3/20 | Curve=CONCEDER β=4.00 | Progress=15% → Offer RM98800
2026-05-11 16:42:04,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,3,ToyotaDealer,Tan06,OFFER,PROPOSE,98900.00,Time-Dependent (BOULWARE),ONGOING,0.9899,,,Round 3/10 | Curve=BOULWARE β=0.25 | Progress=30% → Offer RM98900
2026-05-11 16:42:04,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,4,Tan06,ToyotaDealer,OFFER,PROPOSE,98800.00,Time-Dependent (CONCEDER),ONGOING,0.3778,,,Round 4/20 | Curve=CONCEDER β=4.00 | Progress=20% → Offer RM100100
2026-05-11 16:42:06,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,4,ToyotaDealer,Tan06,OFFER,PROPOSE,98700.00,Time-Dependent (BOULWARE),ONGOING,0.9697,,,Round 4/10 | Curve=BOULWARE β=0.25 | Progress=40% → Offer RM98700
2026-05-11 16:42:06,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,5,Tan06,ToyotaDealer,OFFER,PROPOSE,98600.00,Time-Dependent (CONCEDER),ONGOING,0.3852,,,Round 5/20 | Curve=CONCEDER β=4.00 | Progress=25% → Offer RM101100
2026-05-11 16:42:08,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,negotiation-neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,5,ToyotaDealer,Tan06,ACCEPT,ACCEPT_PROPOSAL,98600.00,Time-Dependent (BOULWARE),COMPLETED,0.9596,,,Impasse detected — buyer at RM 98600 is above our floor — accepting to close deal.
2026-05-11 17:01:39,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,5,,,REJECT,,,,FAILED,,,,ToyotaDealer shutdown
2026-05-11 17:01:39,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,neg-Tan06_172_17_75_103_1099_JADE-ToyotaDealer_172_17_75_103_1099_JADE-7DAD6863-920455,5,,,REJECT,,,,FAILED,,,,Tan06 shutdown
2026-05-22 02:23:10,neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,negotiation-neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,1,Tan06,ToyotaDealer,OFFER,PROPOSE,82000.00,Time-Dependent (CONCEDER),ONGOING,1.0000,,,Round 1 opening offer using Time-Dependent (CONCEDER)
2026-05-22 02:23:10,neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,negotiation-neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,1,ToyotaDealer,Tan06,ACCEPT,ACCEPT_PROPOSAL,82000.00,Time-Dependent (BOULWARE),COMPLETED,0.0110,,,Round 1/10 | BOULWARE | Offer RM82000 vs RV RM81900 | lastRound=false → ACCEPT
2026-05-22 02:40:53,neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,1,,,REJECT,,,,FAILED,,,,ToyotaDealer shutdown
2026-05-22 02:40:53,neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,neg-Tan06_172_16_0_119_1099_JADE-ToyotaDealer_172_16_0_119_1099_JADE-940B9FF5-790463,1,,,REJECT,,,,FAILED,,,,Tan06 shutdown
